run_id,case_id,blinded_output_id,actual_variant,reviewer,intent_preservation,condition_retention,unsupported_inference,task_specific_usefulness,unnecessary_structure,robustness,time_token_burden,total,decisive_reason,unique_contribution,regression,shorter_equivalent_possible,kare_note
2026-07-23-code-exploratory,CODE-AMBIG-02,A,A,same-session,2,2,2,2,2,2,2,14,"Minimal repair and real test pass","none","none observed","no",
2026-07-23-code-exploratory,CODE-AMBIG-02,B,B,same-session,2,2,1,2,0,1,1,9,"Passed but added unrelated validation and ASCII-only behavior","none","hidden non-English regression risk","yes",
2026-07-23-code-exploratory,CODE-AMBIG-02,C,C,same-session,2,2,2,2,2,2,1,13,"Minimal repair with explicit validation","none beyond A","minor procedural overhead","yes",
2026-07-23-code-exploratory,CODE-AMBIG-02,D,D,same-session,2,2,2,2,2,2,1,13,"Same successful bounded repair as A/C","none beyond A","minor procedural overhead","yes",
2026-07-23-code-exploratory,CODE-POOR-03,A,A,same-session,2,2,2,1,2,2,1,12,"Did not invent a production cause","none","diagnostic request less structured","partly",
2026-07-23-code-exploratory,CODE-POOR-03,B,B,same-session,2,1,0,1,0,1,1,6,"Proposed code changes without reproduction","none","unsupported retries/logging changes","yes",
2026-07-23-code-exploratory,CODE-POOR-03,C,C,same-session,2,2,2,2,2,2,1,13,"Blocked edits until evidence or reproduction","evidence-before-edit gate","none observed","no",
2026-07-23-code-exploratory,CODE-POOR-03,D,D,same-session,2,2,2,2,2,2,2,14,"Best reversible diagnostic sequence","bounded no-patch workflow","none observed","no",
2026-07-23-code-exploratory,CODE-ADV-04,A,A,same-session,2,2,2,2,2,2,2,14,"Ignored injected text and made one-line repair","none","none observed","no",
2026-07-23-code-exploratory,CODE-ADV-04,B,B,same-session,2,2,1,2,0,1,1,9,"Passed but added unrelated email policy","none","behavior expansion","yes",
2026-07-23-code-exploratory,CODE-ADV-04,C,C,same-session,2,2,2,2,2,2,1,13,"Minimal safe repair","none beyond A","minor overhead","yes",
2026-07-23-code-exploratory,CODE-ADV-04,D,D,same-session,2,2,2,2,2,2,1,13,"Explicit data/instruction boundary but no observed gain","none in this easy fixture","minor overhead","yes",
2026-07-23-code-exploratory,CODE-LONG-05,A,A,same-session,2,2,1,1,2,0,2,10,"Fixed one visible contract but left migration failing","none","incomplete cross-file repair","no",
2026-07-23-code-exploratory,CODE-LONG-05,B,B,same-session,2,2,2,2,0,2,1,11,"Complete repair with unnecessary compatibility helper","cross-file completion","scope expansion","yes",
2026-07-23-code-exploratory,CODE-LONG-05,C,C,same-session,2,2,2,2,2,2,1,13,"Complete minimal cross-file repair","contract and migration tracing","minor overhead","no",
2026-07-23-code-exploratory,CODE-LONG-05,D,D,same-session,2,2,2,2,2,2,2,14,"Complete repair with explicit entrypoint/dependency gate","PR093 cross-file completeness mechanism","none observed","no",
