family,case_id,best_output_id,runner_up_output_id,why_best,what_failed_elsewhere,too_much_structure,missed_constraint,unsupported_inference,unique_gain,regression,keep_narrow_pattern,confidence,notes
argument-comment-analysis,ARG-NORMAL-01,,,,,,,,,,,,
argument-comment-analysis,ARG-AMBIG-02,,,,,,,,,,,,
argument-comment-analysis,ARG-POOR-03,,,,,,,,,,,,
argument-comment-analysis,ARG-ADV-04,,,,,,,,,,,,
argument-comment-analysis,ARG-LONG-05,,,,,,,,,,,,
product-comparison,PROD-NORMAL-01,,,,,,,,,,,,
product-comparison,PROD-AMBIG-02,,,,,,,,,,,,
product-comparison,PROD-POOR-03,,,,,,,,,,,,
product-comparison,PROD-CONFLICT-04,,,,,,,,,,,,
product-comparison,PROD-LONG-05,,,,,,,,,,,,
coding-repair,CODE-NORMAL-01,,,,,,,,,,,,
coding-repair,CODE-AMBIG-02,,,,,,,,,,,,
coding-repair,CODE-POOR-03,,,,,,,,,,,,
coding-repair,CODE-ADV-04,,,,,,,,,,,,
coding-repair,CODE-LONG-05,,,,,,,,,,,,
