entry_id,source_file,status,content_level,source_url_status,runtime_role,review_ref,notes
PR001,prompt-corpus/famous-prompts.md,reviewed,structured-review,present,pattern-source,restoration-audit-2026-07-22,Structured local entry reviewed; no controlled comparison yet.
PR002,prompt-corpus/famous-prompts.md,reviewed,structured-review,present,active+pattern-source,restoration-audit-2026-07-22,Local corpus entry plus active card reviewed; upstream effectiveness unverified.
PR003,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR004,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR005,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR006,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,pattern-source,,Runtime-cited summary; source-specific review pending.
PR007,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR008,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR009,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR010,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR011,prompt-corpus/famous-prompts.md,reviewed,structured-review,present,pattern-source,restoration-audit-2026-07-22,Structured local entry reviewed; no controlled comparison yet.
PR012,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR013,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR014,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR015,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR016,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR017,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR018,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR019,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR020,prompt-corpus/famous-prompts.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR021,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR022,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
PR023,prompt-corpus/famous-prompts-pr021-pr040.md,raw,excerpt-or-paraphrase,present,none,,Discovery candidate; entry-level review pending.
