run_id,case_id,blinded_output_id,actual_variant,reviewer,intent_preservation,condition_retention,unsupported_inference,task_specific_usefulness,unnecessary_structure,robustness,time_token_burden,total,decisive_reason,unique_contribution,regression,shorter_equivalent_possible,kare_note
2026-07-22-arg-exploratory,ARG-NORMAL-01,A,A,assistant-exploratory,2,2,2,2,2,1,2,13,"Directly identified the causal leap with minimal burden.","None beyond competent baseline reasoning.","Did not explicitly decompose every claim relation.",yes,
2026-07-22-arg-exploratory,ARG-NORMAL-01,B,B,assistant-exploratory,2,2,2,2,1,2,1,12,"Complete analysis but mostly reformatted what the baseline already did.","Explicit fact-versus-logic distinction.","Added checklist and role framing without a visible output gain.",yes,
2026-07-22-arg-exploratory,ARG-NORMAL-01,C,C,assistant-exploratory,2,2,2,2,1,2,1,12,"Handled unknowns and alternatives consistently but did not beat the baseline result.","Stable table fields and verification labels.","More structure than the short claim required.",yes,
2026-07-22-arg-exploratory,ARG-NORMAL-01,D,D,assistant-exploratory,2,2,2,2,2,2,1,13,"Separated opportunity, similarity, and actual copying more precisely.","Claim-level separation of what each fact can support.","Slightly longer than necessary for a single short claim.",yes,
2026-07-22-arg-exploratory,ARG-AMBIG-02,A,A,assistant-exploratory,2,2,2,2,2,2,2,14,"Reached the correct limited conclusion and preserved the missing-context boundary.","None; the minimal request was sufficient.","None material.",no,
2026-07-22-arg-exploratory,ARG-AMBIG-02,B,B,assistant-exploratory,2,2,2,2,1,2,1,12,"Correct but added a formal checklist to a two-sentence dispute.","Explicitly requested a limited conclusion.","Unnecessary prompt and output scaffolding.",yes,
2026-07-22-arg-exploratory,ARG-AMBIG-02,C,C,assistant-exploratory,2,2,2,2,1,2,1,12,"Consistent evaluation criteria but no better substantive judgment than A.","Made popularity-versus-truth criterion explicit.","Rubric framing was heavier than the task.",yes,
2026-07-22-arg-exploratory,ARG-AMBIG-02,D,D,assistant-exploratory,2,2,2,2,2,2,2,14,"Precisely isolated the disputed proposition without adding irrelevant machinery.","Direct conflict mapping between the two claims.","None material.",no,
2026-07-22-arg-exploratory,ARG-POOR-03,A,A,assistant-exploratory,2,2,2,2,2,2,2,14,"Correctly treated both statements as unsupported and named the missing evidence.","None; baseline handled the evidence gap well.","None material.",no,
2026-07-22-arg-exploratory,ARG-POOR-03,B,B,assistant-exploratory,2,2,2,2,1,2,1,12,"Correct but converted a simple evidence-gap analysis into a formal procedure.","Explicit burden-of-proof fields.","More structure and tokens without changing the conclusion.",yes,
2026-07-22-arg-exploratory,ARG-POOR-03,C,C,assistant-exploratory,2,2,2,2,1,2,1,12,"Strong unknown handling but table structure did not add a unique result.","Visible confirmed/claim/evidence/verification separation.","The same distinction was achievable in shorter prose.",yes,
2026-07-22-arg-exploratory,ARG-POOR-03,D,D,assistant-exploratory,2,2,2,2,2,2,2,14,"Cleanly assigned separate burdens of proof and stopped at justified uncertainty.","Claim-specific burden-of-proof mapping.","None material.",no,
2026-07-22-arg-exploratory,ARG-ADV-04,A,A,assistant-exploratory,2,2,2,2,2,1,2,13,"Detected both B's first diversion and A's later topic expansion.","None beyond strong baseline chronology.","Reply-target mapping was implicit rather than systematic.",yes,
2026-07-22-arg-exploratory,ARG-ADV-04,B,B,assistant-exploratory,2,2,2,2,1,2,1,12,"Good chronological table but mostly added formatting.","Explicit unanswered-issue field.","Some added burden without clearer final judgment than A.",yes,
2026-07-22-arg-exploratory,ARG-ADV-04,C,C,assistant-exploratory,2,2,2,2,1,2,1,12,"Consistent labels and chronology, but the rubric was not uniquely necessary.","Separated A's third turn into two claims.","Over-structured a four-turn exchange.",yes,
2026-07-22-arg-exploratory,ARG-ADV-04,D,D,assistant-exploratory,2,2,2,2,2,2,2,14,"Most precisely connected each new claim to the exact earlier claim it did or did not answer.","Exact rebuttal-target and diversion-chain mapping.","None material for this case.",no,
2026-07-22-arg-exploratory,ARG-LONG-05,A,A,assistant-exploratory,2,2,2,2,1,1,2,12,"Substantively sound but compressed several reply relations and evidence states.","None beyond competent synthesis.","Less traceable claim-to-reply mapping in a complex thread.",yes,
2026-07-22-arg-exploratory,ARG-LONG-05,B,B,assistant-exploratory,2,2,2,2,1,2,1,12,"Improved organization but remained a generic multi-field analysis.","Explicit score rationale and fact-check list.","Added fields without a source-specific reasoning gain.",yes,
2026-07-22-arg-exploratory,ARG-LONG-05,C,C,assistant-exploratory,2,2,2,2,1,2,1,12,"Handled uncertainty and account structure reliably, but at high structural cost.","Stable distinction among confirmed fact, inference, and verification need.","Long table protocol and multiple patterns increased burden.",yes,
2026-07-22-arg-exploratory,ARG-LONG-05,D,D,assistant-exploratory,2,2,2,2,2,2,1,13,"Best at preserving the reply graph and separating five similar but non-equivalent statistical claims.","Claim-rebuttal network plus support-range analysis.","Still longer than baseline, though the extra detail was mostly justified.",partly,
